# [0]SEQN, [1]Timestamp, [2]VCC, [3]Gyro_X, [4]Gyro_Y, [5]Gyro_Z, [6]Acc_X, [7]Acc_Y, [8]Acc_Z, [9]Magn_X, [10]Magn_Y, [11]Magn_Z, [12]Temp, [13]Aux_ADC
90511,117849217251735,5.060874,0.4,0.55,0.45,9.79684335,0.0326561445,0.1632807225,7.165e-05,2.05e-05,4.75e-06,31.58,0
90512,117849218566427,5.060874,0.25,0.45,0.5,9.8294994945,0.0,0.195936867,7.165e-05,2.055e-05,4.85e-06,31.58,0
90512,117849219810719,5.060874,0.2,0.45,0.5,9.8294994945,0.0,0.195936867,7.16e-05,2.06e-05,4.85e-06,31.58,0
90512,117849220995088,5.060874,0.2,0.45,0.4,9.862155639,0.0326561445,0.1632807225,7.16e-05,2.065e-05,4.85e-06,31.58,0
90512,117849222265990,5.060874,0.2,0.4,0.25,9.862155639,0.0326561445,0.130624578,7.16e-05,2.075e-05,4.85e-06,31.58,0
90512,117849223544295,5.060874,0.2,0.35,0.05,9.862155639,0.0326561445,0.130624578,7.16e-05,2.075e-05,4.75e-06,31.58,0
90512,117849224502727,5.060874,0.2,0.3,-0.1,9.862155639,0.0326561445,0.0979684335,7.17e-05,2.075e-05,4.8e-06,31.58,0
90512,117849225931540,5.060874,0.2,0.2,-0.05,9.79684335,0.0326561445,0.0979684335,7.165e-05,2.075e-05,4.85e-06,31.58,0
90512,117849227002137,5.060874,0.15,0.15,-0.05,9.7641872055,0.0326561445,0.130624578,7.16e-05,2.08e-05,4.9e-06,31.58,0
90512,117849228389254,5.060874,0.0,0.0,0.0,9.7641872055,0.0326561445,0.130624578,7.155e-05,2.075e-05,5e-06,31.58,0
90512,117849229503502,5.058456,-0.15,-0.1,0.1,9.7641872055,0.0326561445,0.1632807225,7.155e-05,2.075e-05,5e-06,31.58,0
90512,117849230842290,5.058456,-0.25,-0.3,0.0,9.79684335,0.0326561445,0.195936867,7.155e-05,2.075e-05,5e-06,31.58,0
90512,117849232002982,5.058456,-0.25,-0.3,-0.05,9.8294994945,0.0326561445,0.195936867,7.155e-05,2.075e-05,5e-06,31.58,0
90512,117849233289878,5.058456,-0.15,-0.1,-0.1,9.8294994945,0.0326561445,0.195936867,7.16e-05,2.075e-05,5e-06,31.58,0
90512,117849234507351,5.058456,0.05,0.15,-0.1,9.79684335,0.0326561445,0.195936867,7.16e-05,2.075e-05,4.95e-06,31.58,0
90512,117849235514043,5.058456,0.2,0.45,0.05,9.7641872055,0.0326561445,0.195936867,7.16e-05,2.08e-05,4.95e-06,31.58,0
